Resultado da Simulação

Arquivo de Entrada: entrada_Ex_Barra.txt


---------- Deslocamentos nos Pontos ----------
|Ponto|              u             |              v             |
|  224|            9.9808727679e+00|            9.2644228606e-23|
|  225|            1.0018848214e+01|            7.9409338805e-23|
|  226|            1.0056783482e+01|            5.9557004104e-23|
|  227|            1.0094678571e+01|            3.3087224502e-24|
|  228|            1.0132533482e+01|            1.8197973476e-23|
|  229|            1.0170348214e+01|           -7.2791893905e-23|
|  230|            1.0208122768e+01|            6.2865726554e-23|
|  231|            1.0245857143e+01|           -3.9704669403e-23|
|  232|            1.0283551339e+01|            6.6174449004e-23|
|  233|            1.0321205357e+01|            5.2939559203e-23|
|  234|            1.0358819196e+01|            1.5881867761e-22|
|  235|            1.0396392857e+01|            1.9852334701e-23|
|  236|            1.0433926339e+01|           -3.9704669403e-23|
|  237|            1.0471419643e+01|            2.9778502052e-23|
|  238|            1.0508872768e+01|            6.6174449004e-23|
|  239|            1.0546285714e+01|            7.2791893905e-23|
|  240|            1.0583658482e+01|            1.3234889801e-23|
|  241|            1.0620991071e+01|            9.2644228606e-23|
|  242|            1.0658283482e+01|            9.5952951056e-23|
|  243|            1.0695535714e+01|           -4.3013391853e-23|
|  244|            1.0732747768e+01|           -7.9409338805e-23|
|  245|            1.0769919643e+01|           -1.2076836943e-22|
|  246|            1.0807051339e+01|           -4.3013391853e-23|
|  247|            1.0844142857e+01|            6.9483171454e-23|
|  248|            1.0881194196e+01|            1.3234889801e-23|
|  249|            1.0918205357e+01|           -9.9261673506e-23|
|  250|            1.0955176339e+01|            9.9261673506e-24|
|  251|            1.0992107143e+01|           -5.9557004104e-23|
|  252|            1.1028997768e+01|           -4.3013391853e-23|
|  253|            1.1065848214e+01|           -1.0587911841e-22|
|  254|            1.1102658482e+01|            7.9409338805e-23|
|  255|            1.1139428571e+01|           -2.4815418377e-24|
|  256|            1.1176158482e+01|            1.0587911841e-22|
|  257|            1.1212848214e+01|            7.9409338805e-23|
|  258|            1.1249497768e+01|            3.9704669403e-23|
|  259|            1.1286107143e+01|            2.6469779602e-23|
